Dataset,Fold Accuracy,Training Time,Testing Time,Imputer Strategy_none,Imputer Strategy_simpleimputer,Categorical Strategy_none,Categorical Strategy_onehot,Categorical Strategy_ordinalencoder,Feature Selection_extra_tree,Feature Selection_fastica,Feature Selection_feature_agglomeration,Feature Selection_generic_univariate,Feature Selection_kernel_pca,Feature Selection_linear_svc,Feature Selection_none,Feature Selection_nystroem,Feature Selection_pca,Feature Selection_polynomial_features,Feature Selection_rbf_sampler,Feature Selection_select_percentile,Feature Selection_truncated_svd,Scaler_minmax,Scaler_none,Scaler_normalizer,Scaler_power,Scaler_quantile,Scaler_robust,Scaler_standard,shrinkage,tol,solver_eigen,solver_lsqr,solver_svd
analcatdata_creditscore_461,1.0,0.0007965564727783,9.703636169433594e-05,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0001294659237806,1.0,0.0,0.0
analcatdata_creditscore_461,1.0,0.0010294914245605,0.0001332759857177,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,1.234652002010995e-05,1.0,0.0,0.0
analcatdata_creditscore_461,1.0,0.0011506080627441,0.0001223087310791,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.280582709135529e-05,0.0,0.0,1.0
analcatdata_creditscore_461,1.0,0.0010745525360107,0.0001025199890136,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0007667337147814,0.0,0.0,1.0
analcatdata_creditscore_461,1.0,0.0011138916015625,0.0001025199890136,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,1.0593539146083992e-05,0.0,1.0,0.0
analcatdata_creditscore_461,1.0,0.0010421276092529,0.0001015663146972,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0001601412796188,0.0,0.0,1.0
analcatdata_creditscore_461,1.0,0.0010442733764648,0.0001022815704345,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.279480207737899e-05,0.0,0.0,1.0
analcatdata_creditscore_461,1.0,0.0010092258453369,0.0001025199890136,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,1.3565075146140676e-05,0.0,1.0,0.0
analcatdata_creditscore_461,1.0,0.0009362697601318,0.0001006126403808,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.2275462400922895e-05,0.0,0.0,1.0
analcatdata_creditscore_461,1.0,0.0009241104125976,0.0001008510589599,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0007481294088643,0.0,0.0,1.0
analcatdata_creditscore_461,1.0,0.0007715225219726,9.703636169433594e-05,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1011565807536921,0.0003338245410071,1.0,0.0,0.0
analcatdata_creditscore_461,1.0,0.0008075237274169,9.846687316894533e-05,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,2.200088082220275e-05,0.0,1.0,0.0
analcatdata_creditscore_461,1.0,0.0010643005371093,0.0001039505004882,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.900418272239582,1.3533369568960023e-05,0.0,1.0,0.0
analcatdata_creditscore_461,1.0,0.0007655620574951,9.751319885253906e-05,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,9.68929516064384e-05,1.0,0.0,0.0
analcatdata_creditscore_461,1.0,0.0008332729339599,9.965896606445312e-05,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.2744480171182763e-05,0.0,0.0,1.0
analcatdata_creditscore_461,1.0,0.0010454654693603,0.00010347366333,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,6.428643322441927e-05,0.0,1.0,0.0
