Dataset,Fold Accuracy,Training Time,Testing Time,Imputer Strategy_none,Imputer Strategy_simpleimputer,Categorical Strategy_none,Categorical Strategy_onehot,Categorical Strategy_ordinalencoder,Feature Selection_extra_tree,Feature Selection_fastica,Feature Selection_feature_agglomeration,Feature Selection_generic_univariate,Feature Selection_kernel_pca,Feature Selection_linear_svc,Feature Selection_none,Feature Selection_nystroem,Feature Selection_pca,Feature Selection_polynomial_features,Feature Selection_random_trees_embedding,Feature Selection_rbf_sampler,Feature Selection_select_percentile,Feature Selection_truncated_svd,Scaler_minmax,Scaler_none,Scaler_normalizer,Scaler_power,Scaler_quantile,Scaler_robust,Scaler_standard,C,degree,gamma,coef0,shrinking,tol,random_state,kernel_linear,kernel_poly,kernel_rbf,kernel_sigmoid
analcatdata_creditscore_461,1.0,0.000840425491333,0.0001330375671386,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5614364624645062,3.0,-2.0,0.0121386191042277,1.0,0.0003650575526266,0.0,1.0,0.0,0.0,0.0
analcatdata_creditscore_461,1.0,0.0013833045959472,0.000223159790039,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3259883688230344,2.0,-2.0,-0.0537753712411563,0.0,0.0025989382156898,0.0,0.0,1.0,0.0,0.0
analcatdata_creditscore_461,1.0,0.0009562969207763,0.0001351833343505,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4992478515987383,2.0,-1.0,-0.0706230453482892,1.0,0.0002048188072999,0.0,0.0,0.0,1.0,0.0
analcatdata_creditscore_461,1.0,0.0008289813995361,0.0001637935638427,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.24394370893899,4.0,-2.0,0.160264593098623,1.0,0.007405647774652,0.0,0.0,0.0,1.0,0.0
analcatdata_creditscore_461,1.0,0.001000165939331,0.0001366138458251,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.9318102663069485,2.0,-1.0,-0.0108592747172956,1.0,0.0006960545600764,0.0,0.0,0.0,1.0,0.0
analcatdata_creditscore_461,1.0,0.0009341239929199,0.0001361370086669,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.47256091355073,3.0,-2.0,-0.0500139566846543,1.0,0.0010637631869568,0.0,0.0,0.0,0.0,1.0
analcatdata_creditscore_461,1.0,0.0008332729339599,0.0001351833343505,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.014086710930673,4.0,-2.0,0.2185895564104348,1.0,0.0002999444550853,0.0,0.0,1.0,0.0,0.0
analcatdata_creditscore_461,1.0,0.0008351802825927,0.0001323223114013,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.810264662216557,4.0,0.0603217927781902,0.4284233681104259,1.0,0.000145294154345,0.0,0.0,0.0,1.0,0.0
analcatdata_creditscore_461,1.0,0.0026240348815917,0.0002374649047851,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9980888371075416,3.0,-2.0,-0.4747116807985958,1.0,0.0003620603987907,0.0,0.0,1.0,0.0,0.0
analcatdata_creditscore_461,1.0,0.0013740062713623,0.0002305507659912,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8891171790139222,2.0,-1.0,-0.2982094623341779,1.0,0.0060463219148024,0.0,0.0,1.0,0.0,0.0
analcatdata_creditscore_461,1.0,0.0013480186462402,0.0002274513244628,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.232561233180795,3.0,-1.0,0.2474414731981385,1.0,0.0018939658842244,0.0,1.0,0.0,0.0,0.0
analcatdata_creditscore_461,1.0,0.0014245510101318,0.0002367496490478,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.902898051300694,3.0,-1.0,0.5630025705546953,0.0,0.0009480458265563,0.0,0.0,0.0,0.0,1.0
