Dataset,Fold,Fold Accuracy,Training Time,Testing Time,Imputer Strategy_none,Imputer Strategy_simpleimputer,Categorical Strategy_none,Categorical Strategy_onehot,Categorical Strategy_ordinalencoder,Feature Selection_extra_tree,Feature Selection_fastica,Feature Selection_feature_agglomeration,Feature Selection_generic_univariate,Feature Selection_kernel_pca,Feature Selection_linear_svc,Feature Selection_none,Feature Selection_nystroem,Feature Selection_pca,Feature Selection_polynomial_features,Feature Selection_random_trees_embedding,Feature Selection_rbf_sampler,Feature Selection_select_percentile,Feature Selection_truncated_svd,Scaler_minmax,Scaler_none,Scaler_normalizer,Scaler_power,Scaler_quantile,Scaler_robust,Scaler_standard,C,fit_intercept,max_iter,tol,loss,random_state
analcatdata_creditscore_461,3,1.0,0.0011532306671142,0.0001165866851806,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,9.301855755261029,True,1793,0.0001362299321092,squared_hinge,0
sa-heart_1498,2,0.8152173913043478,0.0011694431304931,0.0001173019409179,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.3625910464797985,False,583,0.0098759757500981,hinge,0
sa-heart_1498,2,0.8152173913043478,0.0011186599731445,0.0001184940338134,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.1268419624043635,False,984,0.0013639202058263,squared_hinge,0
sa-heart_1498,2,0.8152173913043478,0.0012195110321044,0.0001187324523925,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.653636033471223,False,796,0.000204681216424,hinge,0
sa-heart_1498,2,0.8152173913043478,0.0012037754058837,0.0001258850097656,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.1663348215348547,True,1275,0.0001250069602698,squared_hinge,0
sa-heart_1498,2,0.8152173913043478,0.0011818408966064,0.0001211166381835,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.8157979054892756,False,815,0.0013042827691019,squared_hinge,0
sa-heart_1498,2,0.8152173913043478,0.0011835098266601,0.0001225471496582,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5361288756921138,True,540,0.0003203797074274,hinge,0
sa-heart_1498,2,0.8043478260869565,0.001260757446289,0.0001220703125,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.1432129196504609,True,383,0.000317420832481,hinge,0
sa-heart_1498,2,0.8043478260869565,0.0012495517730712,0.0001204013824462,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.1161876082106936,True,1078,0.0009778025727136,squared_hinge,0
sa-heart_1498,2,0.8043478260869565,0.0012028217315673,0.0001177787780761,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.3448898551972275,True,1024,0.0008482212603477,squared_hinge,0
sa-heart_1498,2,0.8043478260869565,0.001392126083374,0.00014328956604,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.5241484318146661,True,1156,0.0005243707648358,squared_hinge,0
sa-heart_1498,2,0.8043478260869565,0.0012931823730468,0.0001220703125,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3.112911096961716,True,1040,0.0041511591332459,squared_hinge,0
sa-heart_1498,2,0.8043478260869565,0.0012226104736328,0.0001189708709716,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2.809046786089603,False,1092,0.0006309083300739,squared_hinge,0
sa-heart_1498,2,0.782608695652174,0.0013356208801269,0.0001327991485595,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.848476264017339,True,1139,0.0007883811236658,hinge,0
sa-heart_1498,2,0.782608695652174,0.0011782646179199,0.0001196861267089,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.2632753932527447,True,750,0.0018046906891477,squared_hinge,0
sa-heart_1498,2,0.782608695652174,0.0011746883392333,0.0001220703125,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4.834065940645496,True,1000,0.0026892907663262,hinge,0
sa-heart_1498,2,0.782608695652174,0.0011751651763916,0.0001184940338134,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.9883653820978124,False,1153,0.0005538013267078,squared_hinge,0
sa-heart_1498,2,0.782608695652174,0.0025217533111572,0.0001478195190429,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.4984790654984101,False,714,0.001099523033524,hinge,0
sa-heart_1498,2,0.782608695652174,0.0022706985473632,0.0002393722534179,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5.517958105764906,True,472,0.0010101032260667,hinge,0
sa-heart_1498,2,0.782608695652174,0.0012793540954589,0.0001211166381835,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.326975554687932,True,1104,0.0057279742838644,hinge,0
sa-heart_1498,2,0.782608695652174,0.0012316703796386,0.0001220703125,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1002763891181258,True,945,0.0006835111485299,hinge,0
autoUniv-au6-400_1551,2,0.3375,0.0107321739196777,0.0001900196075439,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5.468146923452725,True,1402,0.0008336227985435,hinge,0
autoUniv-au6-400_1551,2,0.3375,0.0108673572540283,0.0001869201660156,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1.1450371670073864,False,1197,0.0014174152994895,squared_hinge,0
autoUniv-au6-400_1551,2,0.3375,0.0051329135894775,0.0001759529113769,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.060410452601436,False,905,0.0021402583698879,hinge,0
autoUniv-au6-400_1551,2,0.3375,0.0116224288940429,0.0002274513244628,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3.47882087571008,False,595,0.0001004447891318,hinge,0
autoUniv-au6-400_1551,2,0.3375,0.0118618011474609,0.0001969337463378,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.1961581380986112,True,1404,0.002011708838337,hinge,0
autoUniv-au6-400_1551,2,0.3375,0.0118584632873535,0.0002081394195556,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.4811862522292749,False,1235,0.0002015761261995,squared_hinge,0
autoUniv-au6-400_1551,2,0.3375,0.0114610195159912,0.0002031326293945,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.4201418234117205,False,1386,0.0089504864776318,squared_hinge,0
autoUniv-au6-400_1551,2,0.3375,0.0118570327758789,0.0001997947692871,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2.5459445501084685,True,1289,0.0005198212219599,squared_hinge,0
