Dataset,Fold,Fold Accuracy,Training Time,Testing Time,Imputer Strategy_none,Imputer Strategy_simpleimputer,Categorical Strategy_none,Categorical Strategy_onehot,Categorical Strategy_ordinalencoder,Feature Selection_extra_tree,Feature Selection_fastica,Feature Selection_feature_agglomeration,Feature Selection_generic_univariate,Feature Selection_kernel_pca,Feature Selection_linear_svc,Feature Selection_none,Feature Selection_nystroem,Feature Selection_pca,Feature Selection_polynomial_features,Feature Selection_rbf_sampler,Feature Selection_select_percentile,Feature Selection_truncated_svd,Scaler_minmax,Scaler_none,Scaler_normalizer,Scaler_power,Scaler_quantile,Scaler_robust,Scaler_standard,var_smoothing
badges2_1121,3,1.0,0.000887393951416,0.0001544952392578,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1.9123407330988583e-10
badges2_1121,4,1.0,0.0008809566497802,0.0001664161682128,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3.01609536077072e-09
badges2_1121,3,1.0,0.0010545253753662,0.0002460479736328,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2.8755392568986885e-11
badges2_1121,2,1.0,0.0009815692901611,0.0001795291900634,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1.9305496024836448e-10
badges2_1121,1,1.0,0.0010209083557128,0.0001821517944335,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3.93975460903135e-09
badges2_1121,0,1.0,0.0010452270507812,0.0002069473266601,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1.2497539819232354e-10
badges2_1121,3,1.0,0.0011279582977294,0.0002145767211914,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.320846388343592e-08
badges2_1121,0,1.0,0.0008599758148193,0.0001852512359619,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4.414826063229486e-09
badges2_1121,1,1.0,0.0009069442749023,0.0001606941223144,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3.0277051055791195e-08
badges2_1121,2,1.0,0.0009093284606933,0.0001530647277832,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3.8155997266677745e-10
sensory_826,3,0.6956521739130435,0.0013289451599121,0.0001873970031738,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.3675416763591295e-11
sensory_826,3,0.6956521739130435,0.0012376308441162,0.0001807212829589,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.016321836139933e-09
sensory_826,3,0.6956521739130435,0.0009739398956298,0.0001585483551025,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2.2739138710184324e-10
sensory_826,3,0.6956521739130435,0.001328706741333,0.0002033710479736,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.205167421581733e-10
sensory_826,3,0.6956521739130435,0.001051902770996,0.0001633167266845,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5.302013823408855e-09
