Dataset,Fold,Fold Accuracy,Training Time,Testing Time,Imputer Strategy_none,Imputer Strategy_simpleimputer,Categorical Strategy_none,Categorical Strategy_onehot,Categorical Strategy_ordinalencoder,Feature Selection_extra_tree,Feature Selection_feature_agglomeration,Feature Selection_generic_univariate,Feature Selection_linear_svc,Feature Selection_none,Feature Selection_nystroem,Feature Selection_polynomial_features,Feature Selection_random_trees_embedding,Feature Selection_select_percentile,Scaler_minmax,Scaler_none,Scaler_normalizer,Scaler_power,Scaler_quantile,Scaler_robust,Scaler_standard,alpha,fit_prior
sick_38,1,0.7933774834437086,0.0047588348388671,0.0004570484161376,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1.1005275308011466,False
sick_38,1,0.7933774834437086,0.0047159194946289,0.0004587173461914,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.904957883191194,True
sick_38,0,0.785430463576159,0.0047876834869384,0.0004510879516601,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,9.417631952202152,True
sick_38,0,0.785430463576159,0.0047109127044677,0.0004713535308837,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.1204841818535965,False
sick_38,0,0.785430463576159,0.0047192573547363,0.0004515647888183,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.7940781769244859,False
sick_38,0,0.785430463576159,0.0047926902770996,0.00046968460083,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.2681674661220186,False
sick_38,0,0.7801324503311259,0.0046033859252929,0.0004351139068603,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.7155798359312827,True
sick_38,0,0.7801324503311259,0.0047686100006103,0.000450849533081,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.2108035855194263,False
sick_38,0,0.7801324503311259,0.0047905445098876,0.0004568099975585,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.1940129889407561,True
sick_38,0,0.7801324503311259,0.0051891803741455,0.0004799365997314,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.3423926422988264,True
autoUniv-au6-1000_1555,3,0.31,0.0023074150085449,0.0001075267791748,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.1778047142598904,False
autoUniv-au6-1000_1555,3,0.31,0.0022878646850585,0.0001049041748046,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7.869635202743224,True
autoUniv-au6-1000_1555,3,0.31,0.0023355484008789,0.0001115798950195,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.1781004251792329,False
autoUniv-au6-1000_1555,3,0.31,0.0024034976959228,0.0001065731048583,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.854844054579686,True
autoUniv-au6-1000_1555,3,0.31,0.0022709369659423,0.0001068115234375,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3.6211142874431608,True
autoUniv-au6-1000_1555,3,0.31,0.0022540092468261,0.0001022815704345,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4.891599008382013,True
autoUniv-au6-1000_1555,3,0.31,0.0032033920288085,0.0002317428588867,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,8.349606929868454,True
autoUniv-au6-1000_1555,3,0.31,0.0025420188903808,0.0001347064971923,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1.2948011186905934,False
autoUniv-au6-1000_1555,3,0.31,0.0025360584259033,0.0001206398010253,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.4205760437796894,True
autoUniv-au6-1000_1555,3,0.31,0.0023062229156494,0.0001189708709716,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.8904510122018956,False
