Dataset,Fold,Fold Accuracy,Training Time,Testing Time,Imputer Strategy_none,Imputer Strategy_simpleimputer,Categorical Strategy_none,Categorical Strategy_onehot,Categorical Strategy_ordinalencoder,Feature Selection_extra_tree,Feature Selection_fastica,Feature Selection_feature_agglomeration,Feature Selection_generic_univariate,Feature Selection_kernel_pca,Feature Selection_linear_svc,Feature Selection_none,Feature Selection_nystroem,Feature Selection_pca,Feature Selection_polynomial_features,Feature Selection_random_trees_embedding,Feature Selection_rbf_sampler,Feature Selection_select_percentile,Feature Selection_truncated_svd,Scaler_minmax,Scaler_none,Scaler_normalizer,Scaler_power,Scaler_quantile,Scaler_robust,Scaler_standard,C,kernel,degree,gamma,coef0,shrinking,tol,random_state
analcatdata_creditscore_461,3,1.0,0.001000165939331,0.0001366138458251,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.9318102663069485,rbf,2,scale,-0.0108592747172956,True,0.0006960545600764,0
analcatdata_creditscore_461,4,1.0,0.0009341239929199,0.0001361370086669,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.47256091355073,sigmoid,3,auto,-0.0500139566846543,True,0.0010637631869568,0
analcatdata_creditscore_461,0,1.0,0.0008332729339599,0.0001351833343505,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.014086710930673,poly,4,auto,0.2185895564104348,True,0.0002999444550853,0
analcatdata_creditscore_461,1,1.0,0.0008351802825927,0.0001323223114013,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.810264662216557,rbf,4,0.06032179277819029,0.4284233681104259,True,0.000145294154345,0
analcatdata_creditscore_461,0,1.0,0.0026240348815917,0.0002374649047851,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.9980888371075416,poly,3,auto,-0.4747116807985958,True,0.0003620603987907,0
analcatdata_creditscore_461,3,1.0,0.0013740062713623,0.0002305507659912,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.8891171790139222,poly,2,scale,-0.2982094623341779,True,0.0060463219148024,0
analcatdata_creditscore_461,4,1.0,0.0013480186462402,0.0002274513244628,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7.232561233180795,linear,3,scale,0.2474414731981385,True,0.0018939658842244,0
analcatdata_creditscore_461,3,1.0,0.0014245510101318,0.0002367496490478,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,9.902898051300694,sigmoid,3,scale,0.5630025705546953,False,0.0009480458265563,0
sa-heart_1498,2,0.8260869565217391,0.0095002651214599,0.0032875537872314,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,8.98170746231087,sigmoid,5,scale,0.1376583597160726,False,0.0001201989136126,0
sa-heart_1498,2,0.8260869565217391,0.0055015087127685,0.0014543533325195,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5.86452058512346,rbf,5,0.18563271312170085,0.4014988694967873,True,0.0002862320500236,0
