Dataset,Fold,Fold Accuracy,Training Time,Testing Time,Imputer Strategy_none,Imputer Strategy_simpleimputer,Categorical Strategy_none,Categorical Strategy_onehot,Categorical Strategy_ordinalencoder,Feature Selection_extra_tree,Feature Selection_fastica,Feature Selection_feature_agglomeration,Feature Selection_generic_univariate,Feature Selection_kernel_pca,Feature Selection_linear_svc,Feature Selection_none,Feature Selection_nystroem,Feature Selection_pca,Feature Selection_polynomial_features,Feature Selection_random_trees_embedding,Feature Selection_rbf_sampler,Feature Selection_select_percentile,Feature Selection_truncated_svd,Scaler_minmax,Scaler_none,Scaler_normalizer,Scaler_power,Scaler_quantile,Scaler_robust,Scaler_standard,penalty,loss,C,tol,max_iter,random_state
sick_38,4,0.9442970822281168,0.2073924541473388,0.0003762245178222,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,l2,squared_hinge,0.5246253825475607,5.836220599821611e-05,779,0
sick_38,4,0.9442970822281168,0.2021160125732422,0.0003771781921386,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,l1,squared_hinge,0.1613963518089987,0.00015983593784,870,0
sick_38,4,0.9442970822281168,0.2085082530975341,0.0003619194030761,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,l1,hinge,0.5720230478575868,1.0022107178577782e-05,784,0
sick_38,4,0.9442970822281168,0.2098777294158935,0.0003702640533447,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,l1,hinge,0.244207497642841,2.966486410586412e-05,688,0
autoUniv-au6-1000_1555,3,0.325,0.0021378993988037,0.0001256465911865,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,l1,hinge,1.2810615591594658,0.0009502504066316,1521,0
autoUniv-au6-1000_1555,3,0.325,0.0017416477203369,0.0001137256622314,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,l2,hinge,0.1056609668264042,1.6775988600257258e-05,1416,0
autoUniv-au6-1000_1555,3,0.325,0.0017287731170654,0.0001137256622314,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,l2,squared_hinge,1.0284792679053614,1.4383362845479377e-05,441,0
autoUniv-au6-1000_1555,3,0.325,0.0017488002777099,0.0001153945922851,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,l1,squared_hinge,0.3677266639672282,9.690109380567156e-05,1095,0
autoUniv-au6-1000_1555,3,0.315,0.0149207115173339,0.0002439022064208,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,l1,squared_hinge,0.4394574308920454,3.816467194852456e-05,981,0
autoUniv-au6-1000_1555,3,0.315,0.0030434131622314,0.0001313686370849,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,l1,squared_hinge,0.5121083955860958,0.0001168360013569,1043,0
autoUniv-au6-1000_1555,3,0.315,0.0029842853546142,0.0001223087310791,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,l2,squared_hinge,2.0204163334594454,0.0008345492873859,565,0
autoUniv-au6-1000_1555,3,0.315,0.0033855438232421,0.000126838684082,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,l2,squared_hinge,3.2775148666192213,1.7878645776793023e-05,446,0
autoUniv-au6-1000_1555,3,0.315,0.003049612045288,0.0001366138458251,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,l2,squared_hinge,0.4564663928834245,7.584899144037577e-05,983,0
autoUniv-au6-1000_1555,3,0.315,0.003366470336914,0.0001299381256103,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,l2,hinge,7.079193359987584,0.0003293240817803,889,0
autoUniv-au6-1000_1555,3,0.315,0.0023951530456542,0.0001323223114013,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,l1,squared_hinge,3.1079491769091163,2.096436189517544e-05,835,0
autoUniv-au6-1000_1555,3,0.315,0.0173671245574951,0.0003664493560791,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,l1,hinge,0.6422066148950603,0.0002655877018489,938,0
autoUniv-au6-1000_1555,3,0.31,0.0019464492797851,0.0001633167266845,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,l2,squared_hinge,0.1568941404685405,6.315406047467812e-05,1180,0
autoUniv-au6-1000_1555,3,0.31,0.0018653869628906,0.0001239776611328,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,l2,squared_hinge,1.3203229055572552,0.0001744263342714,1264,0
autoUniv-au6-1000_1555,3,0.31,0.0113582611083984,0.0001816749572753,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,l2,squared_hinge,1.6886152047293268,0.0001125191353014,706,0
autoUniv-au6-1000_1555,3,0.31,0.0033433437347412,0.0001416206359863,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,l2,squared_hinge,0.1873322886629287,7.9636403260651e-05,734,0
autoUniv-au6-1000_1555,3,0.31,0.0045878887176513,0.0004348754882812,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,l2,hinge,5.058816724885942,9.079650509021824e-05,1045,0
autoUniv-au6-1000_1555,3,0.31,0.0034205913543701,0.0001428127288818,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,l2,hinge,0.579237150549307,1.9701122205296944e-05,1367,0
autoUniv-au6-1000_1555,3,0.31,0.0017919540405273,0.0001134872436523,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,l2,squared_hinge,0.2017159539672804,7.385271074016537e-05,936,0
autoUniv-au6-1000_1555,3,0.31,0.0019235610961914,0.000124454498291,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,l2,squared_hinge,1.1009244019241762,0.0003207348519127,1043,0
