Dataset,Fold,Fold Accuracy,Training Time,Testing Time,Imputer Strategy_none,Imputer Strategy_simpleimputer,Categorical Strategy_none,Categorical Strategy_onehot,Categorical Strategy_ordinalencoder,Feature Selection_extra_tree,Feature Selection_fastica,Feature Selection_feature_agglomeration,Feature Selection_generic_univariate,Feature Selection_kernel_pca,Feature Selection_linear_svc,Feature Selection_none,Feature Selection_nystroem,Feature Selection_pca,Feature Selection_polynomial_features,Feature Selection_random_trees_embedding,Feature Selection_rbf_sampler,Feature Selection_select_percentile,Feature Selection_truncated_svd,Scaler_minmax,Scaler_none,Scaler_normalizer,Scaler_power,Scaler_quantile,Scaler_robust,Scaler_standard,n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap,random_state
sa-heart_1498,2,0.8260869565217391,0.1686842441558838,0.0049018859863281,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,119,log_loss,,5,2,sqrt,False,0
sa-heart_1498,2,0.8260869565217391,0.180105447769165,0.0050034523010253,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,123,log_loss,,2,1,sqrt,True,0
sa-heart_1498,2,0.8260869565217391,0.1798624992370605,0.0049481391906738,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,57,entropy,6.0,4,1,log2,False,0
sa-heart_1498,2,0.8260869565217391,0.1862573623657226,0.00498628616333,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,79,log_loss,,2,1,log2,True,0
sa-heart_1498,2,0.7934782608695652,0.2027473449707031,0.0048601627349853,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,125,entropy,31.0,3,1,sqrt,False,0
sa-heart_1498,2,0.7934782608695652,0.2110774517059326,0.0050840377807617,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,86,gini,21.0,5,2,sqrt,False,0
sa-heart_1498,2,0.7934782608695652,0.2023770809173584,0.0047314167022705,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,133,gini,21.0,5,1,sqrt,True,0
sa-heart_1498,2,0.7934782608695652,0.2153818607330322,0.0050392150878906,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,91,entropy,14.0,2,1,sqrt,True,0
sa-heart_1498,2,0.7934782608695652,0.2354073524475097,0.0052416324615478,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,68,gini,13.0,2,1,sqrt,False,0
sa-heart_1498,2,0.7934782608695652,0.2008030414581298,0.0048861503601074,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,16,entropy,14.0,2,1,sqrt,False,0
sa-heart_1498,0,0.7849462365591398,0.1983444690704345,0.0050773620605468,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,165,gini,12.0,2,1,sqrt,False,0
sa-heart_1498,0,0.7849462365591398,0.1806926727294922,0.0051143169403076,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,84,gini,9.0,3,1,,True,0
sa-heart_1498,0,0.7849462365591398,0.2759840488433838,0.0048694610595703,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,89,gini,8.0,5,1,log2,True,0
