Dataset,Fold,Fold Accuracy,Training Time,Testing Time,Imputer Strategy_none,Imputer Strategy_simpleimputer,Categorical Strategy_none,Categorical Strategy_onehot,Categorical Strategy_ordinalencoder,Feature Selection_extra_tree,Feature Selection_fastica,Feature Selection_feature_agglomeration,Feature Selection_generic_univariate,Feature Selection_kernel_pca,Feature Selection_linear_svc,Feature Selection_none,Feature Selection_nystroem,Feature Selection_pca,Feature Selection_polynomial_features,Feature Selection_rbf_sampler,Feature Selection_select_percentile,Feature Selection_truncated_svd,Scaler_minmax,Scaler_none,Scaler_normalizer,Scaler_power,Scaler_quantile,Scaler_robust,Scaler_standard,learning_rate,max_iter,max_depth,min_samples_leaf,l2_regularization,max_bins,random_state
autoUniv-au6-1000_1555,3,0.305,2.45607328414917,0.0148885250091552,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.2914416349865096,160,25.0,15,0.0456367659372913,255,0
autoUniv-au6-1000_1555,3,0.305,2.4530367851257324,0.0160832405090332,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0195575841368504,60,,2,0.1786557606134207,255,0
autoUniv-au6-1000_1555,3,0.305,2.407740831375122,0.0174648761749267,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0153256461425912,86,6.0,29,0.1000245313182654,255,0
autoUniv-au6-1000_1555,3,0.305,2.498901844024658,0.0188455581665039,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0519122366851848,101,,30,0.0955214628983579,245,0
autoUniv-au6-1000_1555,3,0.305,2.3943653106689453,0.0148062705993652,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0132163712154696,73,,21,0.0259564677629754,249,0
autoUniv-au6-1000_1555,3,0.305,2.420371532440185,0.015007734298706,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0228621270878525,142,23.0,1,0.0999913493465698,238,0
analcatdata_creditscore_461,4,1.0,0.0320978164672851,0.0018894672393798,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0138001057714046,162,29.0,28,0.1542480758994843,232,0
analcatdata_creditscore_461,0,1.0,0.042048692703247,0.0027003288269042,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5682711569109744,45,21.0,13,0.0513757224816443,253,0
analcatdata_creditscore_461,1,1.0,0.0310094356536865,0.0024054050445556,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3626342166478267,77,19.0,25,0.0201005595843192,255,0
analcatdata_creditscore_461,3,1.0,0.0288813114166259,0.0019052028656005,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5236361431575344,166,16.0,15,0.0080423226548158,255,0
analcatdata_creditscore_461,0,1.0,0.0317697525024414,0.0018880367279052,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.5453334668246683,116,,16,0.0704603891660182,255,0
analcatdata_creditscore_461,1,1.0,0.0328121185302734,0.0019197463989257,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.7744940960250694,106,32.0,25,0.1151565675457246,241,0
analcatdata_creditscore_461,3,1.0,0.0274908542633056,0.0016558170318603,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.023621590216316,117,30.0,12,0.0177500310816422,255,0
analcatdata_creditscore_461,4,1.0,0.0263035297393798,0.0016529560089111,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.6309836821578184,133,,18,0.0547219286715501,194,0
analcatdata_creditscore_461,0,1.0,0.026130199432373,0.00146484375,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1122219483176344,119,,25,0.0840819710322489,250,0
analcatdata_creditscore_461,1,1.0,0.0320782661437988,0.0019044876098632,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.021501167874006,111,,42,0.016943505426334,243,0
analcatdata_creditscore_461,3,1.0,0.0313668251037597,0.0013728141784667,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2049022623640177,100,22.0,19,0.0314560007035935,255,0
analcatdata_creditscore_461,3,1.0,0.0364580154418945,0.002251386642456,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0450817788684426,167,19.0,28,0.0937548551969618,255,0
analcatdata_creditscore_461,4,1.0,0.0380041599273681,0.0018312931060791,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0123862247143788,87,19.0,8,0.1291071241899916,255,0
analcatdata_creditscore_461,0,1.0,0.0354342460632324,0.0020020008087158,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0143646805023632,100,1.0,37,0.1010583291569717,253,0
analcatdata_creditscore_461,1,1.0,0.038539171218872,0.0019176006317138,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0703771973625727,178,1.0,12,0.1250485307561777,246,0
